time [ms]	Pressure [Hgmm]	illuminance [lux]
17.77 	 71.70 	 -0.82
17.80 	 75.40 	 -0.57
17.82 	 71.40 	 -0.40
17.85 	 75.40 	 -0.35
17.88 	 71.70 	 -0.42
17.90 	 75.20 	 -0.54
17.93 	 72.10 	 -0.65
17.95 	 76.10 	 -0.68
17.98 	 72.80 	 -0.58
18.00 	 76.30 	 -0.33
18.02 	 73.70 	 0.05
18.05 	 76.80 	 0.54
18.07 	 74.60 	 1.05
18.10 	 74.60 	 1.48
18.12 	 76.00 	 1.73
18.15 	 74.90 	 1.72
18.18 	 76.40 	 1.44
18.20 	 75.50 	 0.91
18.23 	 76.10 	 0.22
18.25 	 76.20 	 -0.49
18.27 	 76.10 	 -1.10
18.30 	 75.70 	 -1.49
18.32 	 77.10 	 -1.62
18.35 	 74.90 	 -1.49
18.38 	 78.40 	 -1.18
18.40 	 74.00 	 -0.81
18.43 	 77.40 	 -0.49
18.45 	 73.50 	 -0.30
18.48 	 78.10 	 -0.24
18.50 	 75.30 	 -0.30
18.52 	 78.70 	 -0.40
18.55 	 75.80 	 -0.51
18.57 	 79.80 	 -0.55
18.60 	 76.10 	 -0.49
18.62 	 80.60 	 -0.30
18.65 	 77.20 	 0.03
18.68 	 81.10 	 0.46
18.70 	 78.30 	 0.95
18.73 	 78.00 	 1.41
18.75 	 80.90 	 1.78
18.77 	 78.70 	 2.00
18.80 	 78.30 	 2.01
18.82 	 80.90 	 1.76
18.85 	 78.50 	 1.28
18.88 	 83.50 	 0.63
18.90 	 81.00 	 -0.07
18.93 	 81.20 	 -0.67
18.95 	 81.00 	 -1.08
18.98 	 80.60 	 -1.26
19.00 	 80.10 	 -1.24
19.02 	 79.60 	 -1.09
19.05 	 82.30 	 -0.88
19.07 	 78.60 	 -0.68
19.10 	 82.00 	 -0.53
19.12 	 78.30 	 -0.46
19.15 	 82.50 	 -0.46
19.18 	 80.10 	 -0.51
19.20 	 83.80 	 -0.56
19.23 	 80.10 	 -0.56
19.25 	 84.60 	 -0.47
19.27 	 80.90 	 -0.26
19.30 	 84.50 	 0.06
19.32 	 82.10 	 0.47
19.35 	 81.70 	 0.95
19.38 	 83.90 	 1.42
19.40 	 82.60 	 1.81
19.43 	 82.10 	 2.02
19.45 	 83.60 	 1.95
19.48 	 81.50 	 1.57
19.50 	 85.60 	 0.93
19.52 	 82.40 	 0.14
19.55 	 86.20 	 -0.65
19.57 	 83.30 	 -1.31
19.60 	 83.60 	 -1.72
19.62 	 83.30 	 -1.86
19.65 	 84.50 	 -1.72
19.68 	 82.40 	 -1.37
19.70 	 85.60 	 -0.92
19.73 	 82.00 	 -0.46
19.75 	 85.60 	 -0.12
19.77 	 82.10 	 0.06
19.80 	 85.70 	 0.08
19.82 	 82.00 	 -0.01
19.85 	 86.20 	 -0.16
19.88 	 83.20 	 -0.30
19.90 	 86.30 	 -0.38
19.93 	 83.60 	 -0.36
19.95 	 87.60 	 -0.21
19.98 	 84.10 	 0.10
20.00 	 88.30 	 0.56
20.02 	 84.70 	 1.12
20.05 	 88.60 	 1.70
20.07 	 85.90 	 2.18
20.10 	 87.10 	 2.45
20.12 	 86.70 	 2.41
20.15 	 86.80 	 2.01
20.18 	 87.30 	 1.28
20.20 	 88.10 	 0.33
20.23 	 88.20 	 -0.63
20.25 	 88.30 	 -1.42
20.27 	 88.00 	 -1.90
20.30 	 87.40 	 -2.01
20.32 	 86.90 	 -1.81
20.35 	 90.10 	 -1.42
20.38 	 85.80 	 -0.97
20.40 	 90.10 	 -0.57
20.43 	 87.00 	 -0.29
20.45 	 90.80 	 -0.14
20.48 	 87.30 	 -0.12
20.50 	 91.80 	 -0.17
20.52 	 88.50 	 -0.21
20.55 	 89.50 	 -0.22
20.57 	 88.90 	 -0.17
20.60 	 88.80 	 -0.06
20.62 	 90.00 	 0.09
20.65 	 88.10 	 0.27
20.68 	 91.40 	 0.49
20.70 	 87.40 	 0.76
20.73 	 90.90 	 1.06
20.75 	 87.40 	 1.34
20.77 	 91.60 	 1.51
20.80 	 88.20 	 1.51
